step,train_loss,val_loss,val_ppl,time_ms,mfu
0,8.79,8.74,6260.27,59374.5,-100.0
1,8.86,,,2289.7,-100.0
2,8.39,,,2004.5,-100.0
3,13.24,,,1836.9,-100.0
4,8.05,,,1831.2,-100.0
5,7.73,,,1904.1,8.8
6,7.49,,,1855.6,8.9
7,7.54,,,2374.2,8.7
8,7.4,,,1483.9,9.0
9,7.44,,,1827.4,9.0
10,7.13,,,1943.5,8.9
11,7.4,,,1791.3,9.0
12,7.46,,,1948.9,9.0
13,7.1,,,1868.9,9.0
14,7.19,,,1824.2,9.0
15,7.34,,,1801.7,9.0
16,7.15,,,1812.2,9.0
17,6.94,,,2018.6,9.0
18,6.74,,,1807.2,9.0
19,7.05,,,1904.8,9.0
20,6.91,,,2140.7,8.9
21,6.94,,,1852.6,8.9
22,6.93,,,1932.0,8.9
23,6.92,,,1772.9,8.9
24,6.8,,,1941.8,8.9
25,7.02,,,1656.8,9.0
26,6.73,,,1973.5,9.0
27,6.77,,,1855.9,9.0
28,6.76,,,1877.3,9.0
29,6.5,,,1837.2,9.0
30,6.62,,,1938.1,9.0
31,6.87,,,1842.2,9.0
32,6.73,,,1827.7,9.0
33,6.7,,,1909.0,9.0
34,6.75,,,2031.5,8.9
35,6.63,,,2134.3,8.8
36,6.78,,,1858.7,8.8
37,6.7,,,2198.2,8.7
38,6.68,,,2107.8,8.7
39,6.54,,,2096.7,8.6
40,6.55,,,1963.4,8.6
41,6.38,,,2009.1,8.6
42,6.66,,,1826.4,8.6
43,6.73,,,1832.2,8.7
44,6.48,,,2933.1,8.4
45,6.86,,,1901.6,8.4
46,6.46,,,1897.4,8.5
47,6.48,,,1953.9,8.5
48,6.61,,,1756.3,8.6
49,6.46,,,1716.6,8.7
50,6.59,,,1828.4,8.8
51,6.47,,,1907.6,8.8
52,6.26,,,1911.3,8.8
53,6.44,,,1847.7,8.8
54,6.12,,,1845.2,8.8
55,6.51,,,2115.3,8.8
56,6.38,,,1796.4,8.8
57,6.21,,,1958.5,8.8
58,6.42,,,2053.9,8.7
59,6.46,,,1602.9,8.9
60,6.66,,,1832.1,8.9
61,6.53,,,1667.1,9.1
62,6.18,,,1780.0,9.1
63,6.34,,,1726.0,9.2
64,6.3,,,1968.1,9.1
65,6.08,,,1747.0,9.2
66,6.33,,,1993.8,9.1
67,6.25,,,2118.2,9.0
68,6.27,,,1734.1,9.0
69,6.2,,,1795.3,9.1
70,6.25,,,2021.0,9.0
71,6.41,,,2355.9,8.8
72,6.43,,,2090.7,8.7
73,6.28,,,1742.8,8.8
74,6.29,,,1811.3,8.9
75,6.11,,,1898.0,8.9
76,6.28,,,1793.7,8.9
77,6.25,,,1757.2,9.0
78,6.31,,,2058.8,8.9
79,5.94,,,1478.0,9.2
80,6.18,,,1758.6,9.2
81,6.21,,,1851.2,9.2
82,6.05,,,1773.1,9.2
83,6.46,,,1914.6,9.2
84,6.37,,,1943.5,9.1
85,6.08,,,1916.4,9.1
86,6.29,,,1968.6,9.0
87,5.9,,,1946.5,9.0
88,5.96,,,1725.2,9.1
89,6.26,,,1826.2,9.1
90,6.07,,,1791.7,9.1
91,6.19,,,1681.8,9.2
92,5.98,,,1812.5,9.2
93,5.72,,,1850.7,9.2
94,6.44,,,1926.8,9.2
95,5.94,,,1784.1,9.2
96,6.03,,,1945.1,9.1
97,6.12,,,1861.2,9.1
98,6.08,,,1957.5,9.1
99,5.99,,,2455.3,8.8
100,6.08,,,1722.1,8.9
101,5.97,,,1859.7,9.0
102,6.05,,,1800.7,9.0
103,6.14,,,3319.9,8.6
104,6.07,,,1876.7,8.6
105,6.07,,,1969.5,8.6
106,6.13,,,1796.9,8.7
107,6.3,,,2134.6,8.6
108,6.09,,,1886.8,8.7
109,5.96,,,1687.5,8.8
110,6.02,,,1961.6,8.8
111,5.94,,,2007.1,8.7
112,6.04,,,1841.0,8.8
113,6.25,,,7554.7,8.1
114,5.88,,,1053.6,8.9
115,5.99,,,1030.5,9.6
116,5.99,,,1128.9,10.2
117,5.83,,,1070.9,10.7
118,5.94,,,1048.0,11.3
119,6.04,,,1188.6,11.5
120,5.8,,,1746.9,11.4
121,5.83,,,1801.3,11.2
122,6.02,,,1919.0,10.9
123,5.86,,,1822.0,10.7
124,5.77,,,1736.6,10.6
125,5.76,,,1727.6,10.6
126,5.82,,,1847.2,10.4
127,5.76,,,1687.7,10.4
128,5.87,,,1812.3,10.3
129,5.94,,,1951.4,10.1
130,5.95,,,1724.8,10.1
131,5.8,,,1829.4,10.0
132,5.8,,,1876.5,9.9
133,5.73,,,1818.9,9.8
134,6.29,,,3313.5,9.3
135,5.73,,,1932.3,9.3
136,5.84,,,1960.4,9.2
137,6.0,,,1802.9,9.2
138,5.68,,,1714.5,9.3
139,5.91,,,1984.4,9.2
140,5.83,,,1884.3,9.2
141,5.84,,,1747.4,9.2
142,5.82,,,1719.7,9.3
143,5.83,,,1980.3,9.2
144,5.75,,,1730.5,9.3
145,5.94,,,1990.4,9.2
146,5.94,,,1794.1,9.2
147,5.88,,,1880.2,9.2
148,5.85,,,1996.3,9.1
149,5.98,,,2054.1,9.0
150,5.64,,,2153.3,8.9
151,5.82,,,2111.3,8.8
152,5.89,,,1987.1,8.8
153,5.84,,,1608.2,8.9
154,5.63,,,1882.3,8.9
155,5.83,,,1928.5,8.9
156,5.92,,,1917.3,8.9
157,5.77,,,1780.0,9.0
158,5.76,,,1853.3,9.0
159,5.72,,,1797.6,9.0
160,5.89,,,1836.8,9.0
161,5.81,,,1730.7,9.1
162,5.67,,,1776.1,9.1
163,5.62,,,1948.5,9.1
164,5.84,,,2083.3,9.0
165,5.9,,,1672.8,9.1
166,5.83,,,1927.2,9.1
167,5.74,,,1780.9,9.1
168,5.67,,,2032.9,9.0
169,5.7,,,1756.2,9.1
170,5.58,,,1839.6,9.1
171,5.72,,,1830.8,9.1
172,5.42,,,1918.6,9.1
173,5.61,,,1723.0,9.1
174,5.99,,,1899.8,9.1
175,5.6,,,1742.5,9.2
176,5.75,,,1566.4,9.3
177,5.67,,,1664.1,9.4
178,5.68,,,1780.7,9.4
179,5.51,,,1912.2,9.3
180,5.61,,,1915.8,9.3
181,5.67,,,1840.2,9.3
182,5.41,,,1810.9,9.3
183,5.6,,,1774.4,9.3
184,5.56,,,1666.9,9.4
185,5.59,,,1940.1,9.3
186,5.73,,,2048.2,9.2
187,5.58,,,1768.3,9.2
188,5.52,,,1726.7,9.3
189,5.73,,,1782.0,9.3
190,5.59,,,1890.5,9.3
191,5.53,,,1947.1,9.2
192,5.75,,,1832.6,9.2
193,5.45,,,1704.8,9.3
194,5.55,,,1725.0,9.3
195,5.6,,,1820.4,9.3
196,5.52,,,1864.2,9.3
197,5.58,,,1848.2,9.3
198,5.72,,,1852.3,9.2
199,5.56,,,1871.4,9.2
200,5.57,,,1818.8,9.2
201,5.72,,,2104.4,9.1
202,5.56,,,1419.7,9.4
203,5.81,,,1788.1,9.4
204,5.59,,,1830.2,9.4
205,5.42,,,1720.8,9.4
206,5.4,,,2115.1,9.3
207,5.63,,,2077.8,9.1
208,5.52,,,1670.9,9.2
209,5.53,,,1988.8,9.2
210,5.58,,,1668.1,9.3
211,5.6,,,1743.3,9.3
212,5.49,,,1824.9,9.3
213,5.58,,,2069.2,9.2
214,5.36,,,1761.3,9.2
215,5.64,,,1913.3,9.2
216,5.54,,,1849.8,9.2
217,5.39,,,1821.3,9.2
218,5.31,,,1820.9,9.2
219,5.46,,,1715.2,9.2
220,5.47,,,1777.7,9.3
221,5.48,,,1948.3,9.2
222,5.31,,,1852.9,9.2
223,5.67,,,1943.3,9.1
224,5.42,,,1954.3,9.1
225,5.56,,,1902.5,9.1
226,5.41,,,1795.6,9.1
227,5.46,,,1798.8,9.1
228,5.52,,,1765.6,9.2
229,5.45,,,1884.5,9.1
230,5.38,,,1586.2,9.3
231,5.41,,,2073.3,9.2
232,5.31,,,2076.8,9.1
233,5.5,,,1759.5,9.1
234,5.21,,,1773.6,9.2
235,5.23,,,1640.0,9.3
236,5.37,,,1682.8,9.3
237,5.28,,,1907.9,9.3
238,5.12,,,1723.3,9.3
239,5.33,,,1918.9,9.3
240,5.4,,,2044.5,9.2
241,5.56,,,1895.3,9.1
242,5.33,,,1726.3,9.2
243,5.4,,,1768.9,9.2
244,5.42,,,1934.2,9.2
245,5.37,,,1991.7,9.1
246,5.26,,,1780.6,9.1
247,5.45,,,1905.8,9.1
248,5.24,,,1561.0,9.3
249,5.31,,,1804.4,9.3
250,5.32,,,1872.9,9.3
251,5.23,,,1753.3,9.3
252,5.29,,,1826.3,9.3
253,5.26,,,1758.9,9.3
254,5.22,,,1935.1,9.2
255,5.25,,,1796.9,9.3
256,5.38,,,1792.3,9.3
257,5.21,,,1623.0,9.4
258,5.19,,,1841.5,9.4
259,5.19,,,1755.2,9.4
260,5.23,,,1925.8,9.3
261,5.11,,,1789.2,9.3
262,5.09,,,2163.3,9.2
263,5.15,,,1972.5,9.1
264,5.0,,,1932.3,9.1
265,5.3,,,1961.9,9.0
266,5.33,,,2019.3,9.0
267,5.21,,,1800.6,9.0
268,5.27,,,2262.7,8.8
269,5.4,,,1871.3,8.9
270,5.29,,,1634.9,9.0
271,5.31,,,1782.9,9.0
272,5.31,,,1832.1,9.1
273,5.25,,,1696.7,9.1
274,5.27,,,1749.2,9.2
275,5.17,,,1807.5,9.2
276,5.23,,,1763.2,9.2
277,5.25,,,1713.7,9.3
278,5.12,,,1667.2,9.4
279,5.24,,,1809.9,9.4
280,5.11,,,1729.6,9.4
281,5.11,,,1745.5,9.4
