step,train_loss,val_loss,val_ppl,time_ms,mfu
0,9.98,9.96,21145.43,38192.3,-100.0
1,9.44,,,1639.4,-100.0
2,13.23,,,1261.3,-100.0
3,11.86,,,1064.4,-100.0
4,9.02,,,1250.9,-100.0
5,8.62,,,1199.5,14.0
6,8.42,,,1166.3,14.1
7,8.33,,,2313.1,13.4
8,8.02,,,1169.1,13.5
9,7.88,,,1646.9,13.2
10,7.65,,,1848.7,12.8
11,7.71,,,1641.3,12.5
12,7.53,,,1664.1,12.3
13,7.52,,,1466.0,12.2
14,7.23,,,1628.2,12.0
15,7.53,,,1595.9,11.9
16,7.12,,,1525.0,11.8
17,7.22,,,1883.7,11.5
18,7.23,,,1637.1,11.4
19,7.46,,,1514.9,11.3
20,7.34,,,1790.1,11.2
21,7.26,,,1442.3,11.2
22,7.47,,,1707.6,11.1
23,7.19,,,1510.8,11.1
24,7.19,,,1789.5,10.9
25,7.24,,,1741.6,10.8
26,7.4,,,1613.8,10.7
27,7.0,,,1496.9,10.8
28,7.45,,,1949.7,10.6
29,7.02,,,1663.8,10.5
30,7.03,,,1636.3,10.5
31,7.0,,,1665.9,10.5
32,7.08,,,1639.5,10.5
33,7.04,,,1658.2,10.4
34,7.15,,,1848.4,10.3
35,7.06,,,1554.9,10.3
36,7.19,,,1561.1,10.4
37,7.0,,,1523.3,10.5
38,6.91,,,1886.4,10.3
39,6.92,,,1871.4,10.2
40,6.93,,,1612.9,10.2
41,7.17,,,1761.8,10.1
42,7.09,,,1604.6,10.2
43,6.89,,,1876.8,10.0
44,6.87,,,1964.4,9.9
45,6.79,,,1685.1,9.9
46,6.78,,,1930.2,9.8
47,7.05,,,1626.7,9.8
48,6.99,,,1799.0,9.8
49,7.11,,,1606.8,9.9
50,6.8,,,1513.1,10.0
51,6.79,,,1401.3,10.2
52,6.81,,,1630.4,10.2
53,6.93,,,4258.8,9.6
54,6.99,,,1159.9,10.1
55,6.86,,,1131.7,10.6
56,6.85,,,1447.0,10.7
57,6.85,,,1321.1,10.9
58,6.88,,,1487.1,10.9
59,6.8,,,2014.1,10.7
60,6.94,,,1622.7,10.6
61,6.74,,,1590.0,10.6
62,6.61,,,2356.8,10.3
63,6.67,,,1258.0,10.6
64,6.78,,,1974.2,10.4
65,6.82,,,1681.1,10.3
66,6.67,,,1782.1,10.3
67,6.87,,,1654.7,10.2
68,6.59,,,1680.2,10.2
69,6.78,,,1954.2,10.1
70,6.7,,,1311.1,10.3
71,6.64,,,1517.6,10.4
72,6.79,,,1635.1,10.4
73,6.75,,,1743.0,10.3
74,6.85,,,1964.8,10.2
75,6.45,,,1787.9,10.1
76,6.77,,,1868.9,10.0
77,6.83,,,1616.3,10.0
78,6.58,,,1689.9,10.0
79,6.43,,,1732.9,10.0
80,6.56,,,1612.1,10.0
81,6.38,,,1867.4,9.9
82,6.44,,,1617.4,10.0
83,6.7,,,1531.9,10.1
84,6.71,,,1610.3,10.1
85,6.64,,,1505.0,10.2
86,6.7,,,1907.8,10.1
87,6.52,,,1566.9,10.1
88,6.33,,,1554.9,10.2
89,6.54,,,1650.2,10.2
90,6.49,,,1638.6,10.2
91,6.59,,,1916.5,10.1
92,6.44,,,1813.3,10.0
93,7.05,,,1649.1,10.0
94,6.4,,,1857.2,9.9
95,6.32,,,1735.0,9.9
96,6.51,,,1721.0,9.9
97,6.51,,,1613.6,9.9
98,6.44,,,1705.3,9.9
99,6.42,,,1474.6,10.1
100,6.24,,,1848.6,10.0
101,6.22,,,1723.6,10.0
102,6.35,,,1588.6,10.0
103,6.38,,,1651.3,10.0
104,6.31,,,1651.6,10.1
105,6.08,,,1702.5,10.0
106,6.35,,,1835.3,10.0
107,6.43,,,4527.2,9.3
108,6.48,,,2324.1,9.1
109,6.29,,,1191.5,9.6
110,6.25,,,1296.1,10.0
111,6.38,,,1908.1,9.8
112,6.4,,,1776.2,9.8
113,6.35,,,1951.1,9.7
114,6.52,,,1660.1,9.7
115,6.3,,,2031.5,9.6
116,6.21,,,2308.9,9.4
117,6.25,,,1236.8,9.8
118,6.61,,,1404.7,10.0
119,6.4,,,1665.8,10.0
120,6.35,,,1638.0,10.0
121,6.36,,,1516.0,10.1
122,6.25,,,1859.1,10.0
123,6.08,,,1543.6,10.1
124,6.44,,,2176.6,9.9
125,6.1,,,1332.2,10.2
126,6.35,,,1739.8,10.1
127,6.25,,,1993.5,9.9
128,6.28,,,1801.2,9.9
129,6.36,,,1881.9,9.8
130,6.06,,,1663.5,9.8
131,6.25,,,1533.0,9.9
132,6.31,,,1712.4,9.9
133,6.15,,,1715.0,9.9
134,6.06,,,1612.8,10.0
135,6.15,,,1653.2,10.0
136,6.48,,,1778.4,9.9
137,6.11,,,1773.6,9.9
138,6.4,,,2661.2,9.5
139,5.96,,,1309.5,9.9
140,6.14,,,1296.9,10.2
141,6.42,,,1377.6,10.4
142,6.35,,,1674.9,10.3
143,6.17,,,1677.6,10.3
144,6.06,,,1764.8,10.2
145,6.1,,,1696.3,10.2
146,6.26,,,1659.4,10.2
147,6.27,,,1827.6,10.1
148,6.23,,,1592.3,10.1
149,6.12,,,1681.5,10.1
150,6.22,,,1583.9,10.2
151,6.18,,,1769.2,10.1
152,6.13,,,1491.7,10.2
153,6.18,,,1842.6,10.1
154,6.37,,,1713.8,10.1
155,6.35,,,1714.3,10.1
156,6.11,,,3122.9,9.6
157,6.06,,,1192.9,10.1
158,6.04,,,1581.8,10.1
159,6.1,,,1673.3,10.1
160,5.98,,,1944.0,10.0
161,6.04,,,1512.0,10.1
162,6.53,,,1371.3,10.3
163,6.17,,,1694.6,10.3
164,6.06,,,1975.7,10.1
165,6.3,,,1692.6,10.1
166,6.16,,,1535.3,10.2
167,6.11,,,1848.1,10.1
168,6.22,,,1643.7,10.1
