step,train_loss,val_loss,val_ppl,time_ms,mfu
0,9.48,9.5,13422.83,53377.5,-100.0
1,9.13,,,2732.1,-100.0
2,13.54,,,2081.7,-100.0
3,8.65,,,2158.9,-100.0
4,8.57,,,2049.0,-100.0
5,8.11,,,1960.0,8.6
6,8.09,,,2136.7,8.5
7,7.98,,,2144.3,8.5
8,7.79,,,2257.8,8.4
9,7.73,,,2007.6,8.4
10,7.66,,,1938.4,8.4
11,7.43,,,1991.0,8.4
12,7.33,,,2035.9,8.4
13,7.28,,,1780.4,8.5
14,7.7,,,2183.8,8.4
15,7.35,,,2117.5,8.4
16,7.24,,,2455.4,8.2
17,7.53,,,2187.8,8.2
18,7.56,,,1355.3,8.6
19,7.34,,,1795.7,8.7
20,7.31,,,1743.2,8.8
21,7.1,,,1901.6,8.8
22,7.28,,,1882.8,8.8
23,7.37,,,1724.6,8.9
24,7.32,,,2025.0,8.8
25,7.14,,,1648.0,9.0
26,7.17,,,2175.7,8.8
27,7.09,,,1948.9,8.8
28,7.28,,,2018.0,8.8
29,6.97,,,1769.3,8.8
30,7.14,,,2177.4,8.7
31,6.93,,,1781.4,8.8
32,7.06,,,2143.5,8.7
33,6.95,,,1880.1,8.7
34,7.02,,,2130.1,8.7
35,6.88,,,1747.0,8.8
36,6.87,,,2034.8,8.7
37,6.91,,,2558.4,8.5
38,6.78,,,1961.6,8.5
39,6.82,,,1745.7,8.6
40,6.76,,,1918.6,8.6
41,7.08,,,1918.6,8.6
42,6.86,,,1867.6,8.7
43,6.67,,,2210.6,8.6
44,6.75,,,1665.7,8.7
45,6.69,,,1761.4,8.8
46,6.67,,,1757.0,8.9
47,6.66,,,1852.6,8.9
48,6.7,,,1981.1,8.9
49,6.69,,,3151.6,8.5
50,6.73,,,2159.2,8.4
51,6.88,,,1941.1,8.5
52,6.65,,,2128.3,8.4
53,6.43,,,1727.9,8.5
54,6.54,,,2552.9,8.3
55,6.47,,,1343.7,8.8
56,6.54,,,1169.2,9.3
57,6.61,,,2464.5,9.1
58,6.57,,,1106.0,9.7
59,6.49,,,1655.9,9.7
60,6.68,,,1701.9,9.8
61,6.35,,,1954.0,9.6
62,6.73,,,1676.9,9.7
63,6.4,,,2002.9,9.6
64,6.58,,,2310.8,9.3
65,6.41,,,2301.5,9.1
66,6.27,,,1906.2,9.1
