step,train_loss,val_loss,val_ppl,time_ms,mfu
0,10.93,10.93,55961.69,48943.7,-100.0
1,10.03,,,1235.4,-100.0
2,9.34,,,1435.5,-100.0
3,8.93,,,1457.6,-100.0
4,8.57,,,1156.3,-100.0
5,8.24,,,1220.1,13.8
6,7.92,,,1397.1,13.6
7,7.76,,,2071.1,13.1
8,7.85,,,1473.6,12.9
9,7.74,,,1487.8,12.7
10,7.55,,,1277.7,12.8
11,7.57,,,1195.0,12.9
12,7.64,,,1148.9,13.1
13,7.77,,,1174.4,13.2
14,7.28,,,1282.1,13.2
15,7.35,,,964.3,13.6
16,7.45,,,977.7,14.0
17,7.4,,,1284.6,13.9
18,7.37,,,1228.0,13.9
19,7.29,,,1164.2,13.9
20,7.25,,,1387.9,13.8
21,7.48,,,1179.8,13.8
22,7.39,,,1057.2,14.0
23,7.35,,,1268.0,13.9
24,7.29,,,1198.7,14.0
25,7.5,,,992.3,14.3
26,7.24,,,1009.2,14.5
27,7.28,,,2313.8,13.8
28,7.47,,,2282.0,13.1
29,7.29,,,1372.0,13.0
30,7.19,,,1290.4,13.0
31,7.11,,,991.4,13.4
32,7.31,,,1100.1,13.6
33,7.7,,,1179.6,13.7
34,7.17,,,1475.2,13.5
35,6.95,,,1572.8,13.2
36,7.17,,,1181.7,13.3
37,7.04,,,1092.4,13.5
38,7.11,,,1110.5,13.7
39,7.05,,,2106.2,13.1
40,7.05,,,1125.5,13.3
41,6.91,,,1188.1,13.4
42,7.21,,,1323.0,13.3
43,6.96,,,1243.6,13.3
44,7.14,,,1137.1,13.5
45,6.89,,,1285.2,13.4
46,7.13,,,1266.7,13.4
47,6.96,,,1118.1,13.6
48,6.95,,,1047.2,13.8
49,6.86,,,1146.3,13.9
50,7.25,,,1155.3,14.0
51,6.76,,,1489.3,13.7
52,6.78,,,1274.2,13.7
53,6.92,,,1306.4,13.6
54,6.93,,,1056.9,13.8
55,6.74,,,1069.3,14.0
56,6.82,,,1074.3,14.2
57,6.94,,,1082.0,14.3
58,6.89,,,1009.1,14.6
59,6.75,,,1160.9,14.5
60,6.93,,,1094.9,14.6
61,6.66,,,1101.9,14.7
62,6.88,,,994.0,14.9
63,6.73,,,1133.1,14.9
64,6.57,,,1275.4,14.7
65,6.79,,,1189.1,14.7
66,6.56,,,1136.0,14.7
67,6.69,,,1021.0,14.9
68,6.52,,,1051.1,15.0
69,6.69,,,2151.9,14.3
70,6.67,,,1244.6,14.2
71,6.87,,,1108.5,14.3
72,6.51,,,1288.7,14.2
73,6.71,,,1754.0,13.7
74,6.58,,,1019.4,14.0
75,6.49,,,1121.3,14.1
76,6.56,,,1135.8,14.2
77,6.64,,,1095.2,14.3
78,6.49,,,1182.7,14.3
79,6.64,,,1054.5,14.5
80,6.49,,,1106.4,14.5
81,6.52,,,1152.1,14.5
82,6.62,,,1207.9,14.5
83,6.62,,,1029.0,14.7
84,6.68,,,1061.6,14.8
85,6.52,,,1197.1,14.7
86,6.38,,,1046.4,14.8
