step,train_loss,val_loss,val_ppl,time_ms,mfu
0,9.74,9.76,17244.08,61981.2,-100.0
1,9.74,,,1863.5,-100.0
2,10.75,,,1658.2,-100.0
3,8.76,,,1816.1,-100.0
4,8.45,,,1956.6,-100.0
5,8.12,,,2206.9,7.6
6,8.05,,,1917.7,7.7
7,7.82,,,1822.3,7.9
8,7.62,,,1735.2,8.1
9,7.71,,,1914.2,8.1
10,7.9,,,2011.7,8.2
11,7.64,,,1923.6,8.2
12,7.55,,,2832.4,8.0
13,7.35,,,1962.3,8.1
14,7.8,,,2011.2,8.1
15,7.39,,,1999.1,8.1
16,7.51,,,1994.1,8.2
17,7.45,,,1793.1,8.3
18,7.36,,,2123.0,8.2
19,7.51,,,2160.2,8.2
20,7.43,,,1829.5,8.3
21,7.61,,,2130.4,8.3
22,7.31,,,2336.3,8.2
23,7.71,,,2261.8,8.1
24,7.35,,,2040.4,8.1
25,7.43,,,3053.3,7.8
26,7.43,,,1912.2,7.9
27,7.32,,,2074.9,8.0
28,7.21,,,1744.5,8.1
29,7.23,,,2554.2,8.0
30,7.24,,,1852.8,8.1
31,7.14,,,1821.4,8.2
32,7.21,,,1819.1,8.3
33,7.24,,,1852.2,8.4
34,7.15,,,2062.9,8.4
35,7.18,,,2233.8,8.3
36,7.27,,,2014.6,8.3
37,7.03,,,1838.3,8.4
38,7.26,,,2914.4,8.1
39,7.21,,,1955.7,8.2
40,7.09,,,1973.8,8.2
41,6.97,,,2381.9,8.1
42,6.99,,,1981.2,8.1
43,6.86,,,2010.5,8.2
44,6.99,,,2004.7,8.2
45,6.92,,,2006.6,8.2
46,7.01,,,1895.7,8.3
47,7.06,,,1877.5,8.3
48,6.96,,,1994.7,8.3
49,6.81,,,2159.6,8.3
50,7.07,,,2718.7,8.1
51,6.99,,,2098.3,8.1
52,6.93,,,2049.8,8.1
53,6.95,,,1921.5,8.2
54,6.76,,,2058.8,8.2
55,6.81,,,1805.5,8.3
56,6.96,,,2188.0,8.2
57,6.82,,,2089.4,8.2
58,6.7,,,1908.6,8.3
59,6.94,,,2728.1,8.1
60,7.1,,,1948.6,8.1
61,6.86,,,2217.9,8.1
62,6.74,,,2279.0,8.0
63,6.62,,,2044.0,8.0
64,6.6,,,1994.6,8.1
65,6.87,,,1921.8,8.1
66,6.8,,,1914.0,8.2
67,6.7,,,1860.2,8.3
68,7.03,,,1925.5,8.3
69,6.65,,,2858.3,8.1
70,6.82,,,1824.7,8.2
71,6.62,,,1951.8,8.2
72,7.13,,,1996.6,8.3
73,6.77,,,1771.8,8.4
74,6.37,,,1757.8,8.5
75,7.06,,,1956.8,8.5
76,6.66,,,1817.6,8.6
77,6.78,,,1827.1,8.6
78,6.71,,,2690.3,8.4
79,6.57,,,2408.9,8.3
80,6.58,,,1923.3,8.3
81,6.57,,,1950.7,8.3
82,6.81,,,1689.8,8.5
83,6.6,,,1838.8,8.6
84,6.58,,,1897.1,8.6
85,6.57,,,1931.5,8.6
86,6.52,,,1939.1,8.6
87,6.65,,,1745.6,8.7
88,6.47,,,1707.7,8.8
89,6.4,,,1835.5,8.9
90,6.54,,,1855.9,8.9
91,6.42,,,4396.9,8.4
92,6.57,,,1756.7,8.5
93,6.62,,,1695.4,8.6
94,6.67,,,2979.2,8.3
95,6.42,,,1763.3,8.5
96,6.37,,,1767.9,8.6
97,6.52,,,1905.7,8.6
98,6.54,,,2346.8,8.5
99,6.47,,,2171.7,8.4
100,6.55,,,1957.1,8.4
101,6.55,,,1934.7,8.4
102,6.66,,,2205.1,8.4
103,6.41,,,2172.1,8.3
104,6.65,,,2474.1,8.1
105,6.36,,,1934.3,8.2
106,6.32,,,2234.7,8.1
107,6.38,,,1938.9,8.2
108,6.46,,,2269.0,8.1
109,6.56,,,2055.3,8.1
110,6.27,,,2354.9,8.0
111,6.47,,,2003.8,8.1
112,6.57,,,2183.2,8.0
113,6.54,,,1774.9,8.2
114,6.34,,,1725.0,8.3
115,6.12,,,1840.9,8.4
116,6.13,,,1820.0,8.5
117,6.39,,,2154.3,8.4
