layer,kept,masked,total,survival
transformer.wte.weight,33522520,5110952,38633472,86.77066353238973
transformer.wpe.weight,556625,229807,786432,70.77852884928386
transformer.h.0.ln_1.weight,768,0,768,100.0
transformer.h.0.attn.c_attn.weight,1365986,403486,1769472,77.19737865306713
transformer.h.0.attn.c_proj.weight,388045,201779,589824,65.78996446397569
transformer.h.0.ln_2.weight,768,0,768,100.0
transformer.h.0.mlp.c_fc.weight,1843955,515341,2359296,78.15700107150607
transformer.h.0.mlp.c_proj.weight,1459180,900116,2359296,61.848110622829864
transformer.h.1.ln_1.weight,768,0,768,100.0
transformer.h.1.attn.c_attn.weight,1371565,397907,1769472,77.51267044632523
transformer.h.1.attn.c_proj.weight,304551,285273,589824,51.63421630859375
transformer.h.1.ln_2.weight,768,0,768,100.0
transformer.h.1.mlp.c_fc.weight,1944837,414459,2359296,82.43293762207031
transformer.h.1.mlp.c_proj.weight,1682842,676454,2359296,71.32814195421007
transformer.h.2.ln_1.weight,768,0,768,100.0
transformer.h.2.attn.c_attn.weight,1382200,387272,1769472,78.11369719328704
transformer.h.2.attn.c_proj.weight,336554,253270,589824,57.06007215711806
transformer.h.2.ln_2.weight,768,0,768,100.0
transformer.h.2.mlp.c_fc.weight,1955946,403350,2359296,82.90379842122395
transformer.h.2.mlp.c_proj.weight,1701189,658107,2359296,72.10578918457031
transformer.h.3.ln_1.weight,768,0,768,100.0
transformer.h.3.attn.c_attn.weight,1378682,390790,1769472,77.91488082320602
transformer.h.3.attn.c_proj.weight,356613,233211,589824,60.460917154947914
transformer.h.3.ln_2.weight,768,0,768,100.0
transformer.h.3.mlp.c_fc.weight,1968370,390926,2359296,83.4303961859809
transformer.h.3.mlp.c_proj.weight,1696524,662772,2359296,71.90806070963542
transformer.h.4.ln_1.weight,768,0,768,100.0
transformer.h.4.attn.c_attn.weight,1392934,376538,1769472,78.72031882957175
transformer.h.4.attn.c_proj.weight,379059,210765,589824,64.26645914713542
transformer.h.4.ln_2.weight,768,0,768,100.0
transformer.h.4.mlp.c_fc.weight,1982379,376917,2359296,84.02417500813802
transformer.h.4.mlp.c_proj.weight,1712306,646990,2359296,72.57698906792535
transformer.h.5.ln_1.weight,768,0,768,100.0
transformer.h.5.attn.c_attn.weight,1403500,365972,1769472,79.3174461082176
transformer.h.5.attn.c_proj.weight,403312,186512,589824,68.37836371527777
transformer.h.5.ln_2.weight,768,0,768,100.0
transformer.h.5.mlp.c_fc.weight,1990993,368303,2359296,84.3892839219835
transformer.h.5.mlp.c_proj.weight,1740809,618487,2359296,73.78510369194879
transformer.h.6.ln_1.weight,768,0,768,100.0
transformer.h.6.attn.c_attn.weight,1414948,354524,1769472,79.9644187644676
transformer.h.6.attn.c_proj.weight,413279,176545,589824,70.06818983289931
transformer.h.6.ln_2.weight,768,0,768,100.0
transformer.h.6.mlp.c_fc.weight,1994666,364630,2359296,84.54496595594618
transformer.h.6.mlp.c_proj.weight,1773703,585593,2359296,75.17933315700955
transformer.h.7.ln_1.weight,768,0,768,100.0
transformer.h.7.attn.c_attn.weight,1424175,345297,1769472,80.48587375217014
transformer.h.7.attn.c_proj.weight,421145,168679,589824,71.40180799696181
transformer.h.7.ln_2.weight,768,0,768,100.0
transformer.h.7.mlp.c_fc.weight,1993229,366067,2359296,84.4840579562717
transformer.h.7.mlp.c_proj.weight,1804617,554679,2359296,76.48963928222656
transformer.h.8.ln_1.weight,768,0,768,100.0
transformer.h.8.attn.c_attn.weight,1437508,331964,1769472,81.23937536168981
transformer.h.8.attn.c_proj.weight,444366,145458,589824,75.3387451171875
transformer.h.8.ln_2.weight,768,0,768,100.0
transformer.h.8.mlp.c_fc.weight,1992262,367034,2359296,84.44307115342882
transformer.h.8.mlp.c_proj.weight,1832669,526627,2359296,77.6786380343967
transformer.h.9.ln_1.weight,768,0,768,100.0
transformer.h.9.attn.c_attn.weight,1454874,314598,1769472,82.22079806857639
transformer.h.9.attn.c_proj.weight,455914,133910,589824,77.29661729600694
transformer.h.9.ln_2.weight,768,0,768,100.0
transformer.h.9.mlp.c_fc.weight,1989931,369365,2359296,84.34427049424913
transformer.h.9.mlp.c_proj.weight,1893580,465716,2359296,80.26038275824652
transformer.h.10.ln_1.weight,768,0,768,100.0
transformer.h.10.attn.c_attn.weight,1462419,307053,1769472,82.64719645182292
transformer.h.10.attn.c_proj.weight,469665,120159,589824,79.62799072265625
transformer.h.10.ln_2.weight,768,0,768,100.0
transformer.h.10.mlp.c_fc.weight,1987686,371610,2359296,84.24911499023438
transformer.h.10.mlp.c_proj.weight,1925999,433297,2359296,81.63447909884982
transformer.h.11.ln_1.weight,768,0,768,100.0
transformer.h.11.attn.c_attn.weight,1472913,296559,1769472,83.24025472005208
transformer.h.11.attn.c_proj.weight,499248,90576,589824,84.6435546875
transformer.h.11.ln_2.weight,768,0,768,100.0
transformer.h.11.mlp.c_fc.weight,1998533,360763,2359296,84.70887078179254
transformer.h.11.mlp.c_proj.weight,1944741,414555,2359296,82.42886861165364
transformer.ln_f.weight,768,0,768,100.0
