step,train_loss,val_loss,val_ppl,time_ms,mfu
0,10.2,10.15,25535.12,52951.9,-100.0
1,9.8,,,2033.4,-100.0
2,12.92,,,1716.8,-100.0
3,8.88,,,1773.9,-100.0
4,8.51,,,1794.5,-100.0
5,8.28,,,1686.9,10.0
6,8.24,,,1644.0,10.0
7,7.84,,,2989.3,9.6
8,7.84,,,1865.8,9.5
9,8.1,,,1673.9,9.6
10,7.63,,,1810.9,9.5
11,7.51,,,1635.1,9.6
12,7.59,,,2125.7,9.4
13,7.37,,,1621.5,9.5
14,7.41,,,1905.0,9.5
15,7.49,,,2015.9,9.4
16,7.55,,,1855.3,9.3
17,7.23,,,1939.7,9.3
18,7.23,,,2145.0,9.1
19,7.33,,,1890.1,9.1
20,7.42,,,1895.0,9.1
21,7.65,,,2183.0,8.9
22,7.27,,,2249.7,8.8
23,7.46,,,1558.3,9.0
24,7.34,,,1894.3,9.0
25,7.28,,,1706.9,9.1
26,7.31,,,1785.2,9.1
27,7.18,,,2023.9,9.0
28,7.18,,,1625.6,9.2
29,7.3,,,1687.0,9.2
30,7.14,,,1904.7,9.2
31,7.29,,,2159.2,9.1
32,7.22,,,1795.2,9.1
33,7.41,,,1850.7,9.1
34,7.23,,,1938.9,9.1
35,7.14,,,1993.0,9.0
36,7.09,,,1729.7,9.1
37,7.16,,,1771.8,9.1
38,6.92,,,1964.5,9.1
39,7.08,,,2977.2,8.7
40,7.02,,,1680.8,8.8
41,6.82,,,1918.2,8.8
42,6.99,,,1749.5,8.9
43,6.99,,,2113.3,8.8
44,7.11,,,2170.9,8.7
45,6.83,,,2032.1,8.7
46,6.88,,,2203.7,8.6
47,6.9,,,1891.4,8.6
48,7.04,,,2828.5,8.3
49,7.13,,,2326.2,8.2
50,7.2,,,1972.3,8.3
51,6.9,,,2317.6,8.2
52,6.86,,,1835.3,8.3
53,6.81,,,2029.7,8.3
54,7.01,,,2175.3,8.2
55,7.04,,,1877.6,8.3
56,6.72,,,2065.5,8.3
57,6.75,,,2171.6,8.2
58,6.85,,,1954.0,8.3
59,6.79,,,2955.3,8.0
60,6.79,,,1752.5,8.2
61,6.76,,,1910.1,8.2
62,7.13,,,1915.7,8.3
63,6.63,,,1843.3,8.4
64,6.65,,,1878.7,8.4
65,6.85,,,1843.8,8.5
66,6.6,,,1761.1,8.6
67,6.66,,,1972.1,8.6
68,7.0,,,1745.7,8.7
69,6.85,,,2929.3,8.4
70,6.69,,,1614.9,8.6
71,6.64,,,1774.5,8.7
72,6.76,,,1833.8,8.7
73,6.75,,,1883.7,8.8
74,6.51,,,2340.9,8.6
75,6.72,,,2995.0,8.3
76,6.6,,,2126.4,8.3
77,6.79,,,2166.0,8.2
78,6.74,,,2126.9,8.2
79,6.77,,,2141.9,8.2
80,6.8,,,1978.4,8.2
81,6.61,,,1866.1,8.3
82,6.7,,,1932.7,8.3
83,6.55,,,1921.3,8.4
84,6.46,,,1903.7,8.4
85,6.45,,,1822.3,8.5
86,6.43,,,1711.8,8.6
87,6.61,,,1765.3,8.7
88,6.51,,,2121.7,8.6
89,6.81,,,1704.6,8.8
90,6.62,,,1862.2,8.8
91,6.5,,,2311.4,8.6
92,6.74,,,1802.8,8.7
93,6.81,,,1952.3,8.7
94,6.35,,,2190.1,8.6
95,6.38,,,1867.3,8.6
96,6.17,,,1697.6,8.8
97,6.37,,,2038.3,8.7
98,6.38,,,1790.7,8.8
99,6.61,,,2235.6,8.7
100,6.61,,,1930.4,8.7
101,6.48,,,1866.2,8.7
102,6.81,,,2004.3,8.7
103,6.44,,,1802.9,8.7
104,6.26,,,2017.4,8.7
105,6.2,,,2098.2,8.6
106,6.46,,,1963.2,8.6
107,6.42,,,2299.8,8.5
108,6.43,,,2021.1,8.5
109,6.33,,,2033.1,8.5
110,6.16,,,1861.8,8.5
111,6.51,,,2832.3,8.3
112,6.39,,,1690.5,8.4
113,6.72,,,1771.4,8.5
114,6.53,,,1741.5,8.6
115,6.62,,,1956.0,8.6
116,6.51,,,2122.7,8.6
117,6.49,,,1816.6,8.6
118,6.37,,,1814.2,8.7
119,6.5,,,1883.7,8.7
120,6.3,,,1955.8,8.7
121,6.31,,,1869.0,8.7
122,6.19,,,1776.6,8.8
123,6.22,,,1705.7,8.9
124,6.38,,,1599.6,9.1
125,6.31,,,1873.8,9.1
126,6.26,,,2569.0,8.8
127,6.29,,,1885.1,8.8
128,6.6,,,1775.8,8.9
129,6.52,,,1765.9,9.0
130,6.4,,,2161.1,8.8
131,6.31,,,1749.6,8.9
132,6.32,,,1968.9,8.9
133,6.19,,,1953.4,8.9
134,6.39,,,2180.6,8.7
135,6.35,,,1969.1,8.7
136,6.44,,,3205.7,8.4
137,6.55,,,1797.2,8.5
138,6.16,,,1707.9,8.6
139,6.43,,,1671.9,8.8
140,6.35,,,1920.1,8.8
141,6.19,,,2290.4,8.6
142,6.56,,,2947.8,8.3
143,6.47,,,1800.4,8.4
144,6.41,,,1943.4,8.5
145,6.28,,,1738.0,8.6
146,6.27,,,1774.3,8.7
147,6.15,,,2405.5,8.5
148,6.37,,,1731.8,8.6
149,6.17,,,1849.0,8.7
150,6.24,,,1930.1,8.7
151,6.31,,,2066.5,8.6
152,6.21,,,1972.1,8.6
153,6.33,,,2129.1,8.5
154,6.21,,,2322.1,8.4
155,6.24,,,1931.1,8.4
156,6.12,,,1979.3,8.4
157,6.32,,,1846.4,8.5
158,6.2,,,1804.7,8.6
159,6.29,,,1901.9,8.6
160,6.37,,,1717.8,8.7
161,6.29,,,1621.6,8.9
162,6.33,,,1744.8,9.0
163,6.06,,,1909.2,9.0
164,6.18,,,1851.9,9.0
165,6.17,,,2028.5,8.9
166,5.94,,,1869.5,8.9
167,6.27,,,2267.4,8.8
168,6.26,,,1676.4,8.9
169,6.33,,,1862.4,8.9
170,6.16,,,2128.9,8.8
171,6.15,,,2275.6,8.7
172,6.03,,,1772.2,8.8
173,6.03,,,1789.1,8.8
174,6.32,,,2072.9,8.7
175,6.27,,,2397.2,8.6
176,6.31,,,1835.5,8.6
177,6.26,,,1842.5,8.7
178,5.97,,,2069.1,8.6
179,6.18,,,1888.4,8.7
180,6.07,,,1724.0,8.8
181,5.99,,,1850.3,8.8
182,6.38,,,2002.5,8.8
183,6.07,,,2063.6,8.7
184,6.08,,,1811.0,8.8
185,6.33,,,1948.0,8.7
186,6.35,,,1840.8,8.8
187,6.18,,,1776.9,8.9
188,6.1,,,2945.2,8.5
189,6.14,,,2126.0,8.5
190,6.21,,,2054.6,8.5
191,6.06,,,2149.5,8.4
192,6.15,,,2099.5,8.4
193,6.15,,,1763.8,8.5
194,6.21,,,1800.6,8.6
195,5.97,,,2135.4,8.5
196,5.92,,,1950.3,8.5
197,5.91,,,1966.8,8.5
198,6.25,,,3185.0,8.2
199,6.27,,,1951.0,8.2
200,6.13,,,1762.4,8.4
201,6.17,,,1855.0,8.4
202,5.97,,,2011.1,8.4
203,6.09,,,1697.9,8.6
204,6.31,,,1667.9,8.7
205,6.04,,,1939.7,8.7
206,6.19,,,2009.2,8.7
207,6.07,,,1822.6,8.7
208,6.17,,,2225.6,8.6
209,5.98,,,1995.3,8.6
210,6.07,,,1734.3,8.7
211,6.01,,,1715.2,8.8
212,6.1,,,1830.6,8.9
213,6.02,,,2040.5,8.8
214,5.94,,,2266.1,8.7
215,5.88,,,2127.5,8.6
216,5.93,,,1781.1,8.7
217,5.85,,,1820.1,8.7
218,6.2,,,1826.7,8.8
219,6.1,,,1809.2,8.8
220,5.84,,,1769.1,8.9
221,5.87,,,1758.0,9.0
222,5.86,,,1775.0,9.0
223,5.87,,,1826.9,9.0
224,6.06,,,1785.4,9.1
225,6.08,,,1927.6,9.0
226,6.25,,,2037.7,9.0
227,5.67,,,1990.0,8.9
228,5.84,,,1854.3,8.9
229,5.95,,,1958.9,8.9
230,6.01,,,1871.1,8.9
231,6.08,,,1817.9,8.9
232,5.93,,,1802.7,9.0
233,5.96,,,1776.5,9.0
234,6.08,,,1817.0,9.1
235,6.1,,,2773.4,8.8
236,5.91,,,2267.4,8.6
237,6.05,,,1840.3,8.7
238,6.04,,,2033.1,8.6
239,6.02,,,2005.2,8.6
240,6.07,,,1732.8,8.7
241,6.0,,,1674.8,8.9
242,6.03,,,2474.1,8.6
243,5.94,,,1916.0,8.7
244,5.92,,,1978.7,8.6
245,5.86,,,1720.4,8.8
246,5.98,,,1757.4,8.8
247,5.94,,,1966.9,8.8
248,6.24,,,1906.5,8.8
249,5.99,,,1786.4,8.9
250,6.1,,,1718.1,9.0
251,6.28,,,1895.9,9.0
252,5.91,,,2025.9,8.9
253,6.1,,,2063.6,8.8
254,5.8,,,1831.8,8.9
255,6.17,,,1898.6,8.9
256,5.78,,,2022.8,8.8
257,5.99,,,1978.6,8.8
258,6.1,,,1738.2,8.9
259,6.04,,,1841.0,8.9
260,5.85,,,1769.6,9.0
261,6.0,,,2322.9,8.8
262,5.78,,,1900.0,8.8
263,6.11,,,1718.4,8.9
264,6.04,,,1749.4,9.0
265,6.03,,,1750.6,9.0
266,5.76,,,1787.7,9.1
267,5.83,,,2050.6,9.0
268,5.84,,,1698.3,9.1
269,5.85,,,2063.9,9.0
270,6.07,,,1799.1,9.0
271,5.86,,,1726.0,9.1
272,6.0,,,1736.0,9.2
273,5.64,,,2114.5,9.0
274,5.92,,,2108.7,8.9
275,5.86,,,2361.4,8.7
276,5.98,,,1900.0,8.8
277,6.0,,,1888.0,8.8
278,5.98,,,1921.2,8.8
