layer,kept,masked,total,survival
transformer.wte.weight,27075033,11558439,38633472,70.0818010868917
transformer.wpe.weight,240266,546166,786432,30.551401774088543
transformer.h.0.ln_1.weight,768,0,768,100.0
transformer.h.0.attn.c_attn.weight,938455,831017,1769472,53.03587736906829
transformer.h.0.attn.c_proj.weight,137619,452205,589824,23.33221435546875
transformer.h.0.ln_2.weight,768,0,768,100.0
transformer.h.0.mlp.c_fc.weight,1327369,1031927,2359296,56.261232164171005
transformer.h.0.mlp.c_proj.weight,871655,1487641,2359296,36.945554945203995
transformer.h.1.ln_1.weight,768,0,768,100.0
transformer.h.1.attn.c_attn.weight,960940,808532,1769472,54.306595413773145
transformer.h.1.attn.c_proj.weight,120145,469679,589824,20.36963568793403
transformer.h.1.ln_2.weight,768,0,768,100.0
transformer.h.1.mlp.c_fc.weight,1451067,908229,2359296,61.50423685709635
transformer.h.1.mlp.c_proj.weight,942952,1416344,2359296,39.96751573350694
transformer.h.2.ln_1.weight,768,0,768,100.0
transformer.h.2.attn.c_attn.weight,967498,801974,1769472,54.6772144458912
transformer.h.2.attn.c_proj.weight,152999,436825,589824,25.939771864149307
transformer.h.2.ln_2.weight,768,0,768,100.0
transformer.h.2.mlp.c_fc.weight,1474080,885216,2359296,62.479654947916664
transformer.h.2.mlp.c_proj.weight,980451,1378845,2359296,41.55693054199219
transformer.h.3.ln_1.weight,768,0,768,100.0
transformer.h.3.attn.c_attn.weight,963391,806081,1769472,54.44511131004051
transformer.h.3.attn.c_proj.weight,167570,422254,589824,28.410169813368057
transformer.h.3.ln_2.weight,768,0,768,100.0
transformer.h.3.mlp.c_fc.weight,1492580,866716,2359296,63.26378716362847
transformer.h.3.mlp.c_proj.weight,974979,1384317,2359296,41.32499694824219
transformer.h.4.ln_1.weight,768,0,768,100.0
transformer.h.4.attn.c_attn.weight,957945,811527,1769472,54.13733588324653
transformer.h.4.attn.c_proj.weight,190716,399108,589824,32.334391276041664
transformer.h.4.ln_2.weight,768,0,768,100.0
transformer.h.4.mlp.c_fc.weight,1513144,846152,2359296,64.13540310329861
transformer.h.4.mlp.c_proj.weight,962957,1396339,2359296,40.815438164605034
transformer.h.5.ln_1.weight,768,0,768,100.0
transformer.h.5.attn.c_attn.weight,1011156,758316,1769472,57.144504123263886
transformer.h.5.attn.c_proj.weight,238795,351029,589824,40.485805935329864
transformer.h.5.ln_2.weight,768,0,768,100.0
transformer.h.5.mlp.c_fc.weight,1531104,828192,2359296,64.89664713541667
transformer.h.5.mlp.c_proj.weight,1041527,1317769,2359296,44.14566887749566
transformer.h.6.ln_1.weight,768,0,768,100.0
transformer.h.6.attn.c_attn.weight,1011577,757895,1769472,57.168296531394674
transformer.h.6.attn.c_proj.weight,250500,339324,589824,42.470296223958336
transformer.h.6.ln_2.weight,768,0,768,100.0
transformer.h.6.mlp.c_fc.weight,1537273,822023,2359296,65.15812344021268
transformer.h.6.mlp.c_proj.weight,1073026,1286270,2359296,45.48077053493924
transformer.h.7.ln_1.weight,768,0,768,100.0
transformer.h.7.attn.c_attn.weight,1033368,736104,1769472,58.39979383680556
transformer.h.7.attn.c_proj.weight,262465,327359,589824,44.498867458767364
transformer.h.7.ln_2.weight,768,0,768,100.0
transformer.h.7.mlp.c_fc.weight,1535544,823752,2359296,65.0848388671875
transformer.h.7.mlp.c_proj.weight,1111896,1247400,2359296,47.1282958984375
transformer.h.8.ln_1.weight,768,0,768,100.0
transformer.h.8.attn.c_attn.weight,1075668,693804,1769472,60.79033745659722
transformer.h.8.attn.c_proj.weight,286729,303095,589824,48.612636990017364
transformer.h.8.ln_2.weight,768,0,768,100.0
transformer.h.8.mlp.c_fc.weight,1531628,827668,2359296,64.91885715060764
transformer.h.8.mlp.c_proj.weight,1187059,1172237,2359296,50.31411912706163
transformer.h.9.ln_1.weight,768,0,768,100.0
transformer.h.9.attn.c_attn.weight,1085770,683702,1769472,61.36124222366898
transformer.h.9.attn.c_proj.weight,297921,291903,589824,50.510152180989586
transformer.h.9.ln_2.weight,768,0,768,100.0
transformer.h.9.mlp.c_fc.weight,1521224,838072,2359296,64.47787814670139
transformer.h.9.mlp.c_proj.weight,1290139,1069157,2359296,54.683219061957466
transformer.h.10.ln_1.weight,768,0,768,100.0
transformer.h.10.attn.c_attn.weight,1086700,682772,1769472,61.41380027488426
transformer.h.10.attn.c_proj.weight,315902,273922,589824,53.558688693576386
transformer.h.10.ln_2.weight,768,0,768,100.0
transformer.h.10.mlp.c_fc.weight,1512746,846550,2359296,64.11853366427951
transformer.h.10.mlp.c_proj.weight,1339710,1019586,2359296,56.78431193033854
transformer.h.11.ln_1.weight,768,0,768,100.0
transformer.h.11.attn.c_attn.weight,1111581,657891,1769472,62.819925944010414
transformer.h.11.attn.c_proj.weight,372556,217268,589824,63.16392686631944
transformer.h.11.ln_2.weight,768,0,768,100.0
transformer.h.11.mlp.c_fc.weight,1528138,831158,2359296,64.77093166775174
transformer.h.11.mlp.c_proj.weight,1376750,982546,2359296,58.354271782769096
transformer.ln_f.weight,768,0,768,100.0
