step,train_loss,val_loss,val_ppl,time_ms,mfu
0,9.45,9.46,12780.15,48105.7,-100.0
1,9.63,,,1344.6,-100.0
2,8.73,,,2922.5,-100.0
3,8.43,,,1451.8,-100.0
4,8.06,,,1530.0,-100.0
5,7.98,,,2752.2,6.1
6,8.06,,,2735.8,6.1
7,7.89,,,1530.2,6.6
8,12.63,,,1536.0,7.0
9,7.64,,,1698.3,7.3
10,7.7,,,1376.3,7.8
11,7.45,,,1480.0,8.2
12,7.63,,,1737.4,8.3
13,7.51,,,1471.6,8.6
14,7.57,,,1614.5,8.8
15,7.65,,,1773.5,8.9
16,7.38,,,1446.4,9.2
17,7.85,,,1465.4,9.4
18,7.44,,,1345.6,9.7
19,7.3,,,1425.0,9.9
20,7.72,,,1614.0,10.0
21,7.42,,,1214.6,10.4
22,7.56,,,1340.1,10.6
23,7.41,,,1639.2,10.5
24,7.53,,,1455.9,10.6
25,7.19,,,1359.5,10.8
26,7.24,,,1686.6,10.7
27,7.25,,,1756.0,10.6
28,7.21,,,1579.9,10.6
29,7.26,,,1381.1,10.8
30,7.17,,,1274.4,11.0
31,7.22,,,1644.0,10.9
32,7.16,,,1334.0,11.1
33,7.02,,,1667.1,11.0
34,6.99,,,1356.1,11.2
35,7.15,,,1740.8,11.0
36,7.03,,,1522.6,11.0
37,7.04,,,1424.9,11.1
38,7.14,,,1330.0,11.2
39,6.92,,,1289.8,11.4
40,6.97,,,1595.3,11.3
41,6.98,,,1626.2,11.2
42,6.86,,,1540.4,11.2
43,7.25,,,1535.1,11.2
44,6.81,,,1296.1,11.4
45,6.77,,,1656.9,11.2
46,6.83,,,1376.9,11.3
47,6.75,,,1508.1,11.3
48,6.99,,,1945.0,11.1
49,6.77,,,1690.7,10.9
50,6.85,,,1431.0,11.0
51,6.8,,,1863.3,10.8
52,6.86,,,1647.0,10.8
53,6.71,,,1448.7,10.9
54,6.71,,,1576.7,10.8
55,6.96,,,1428.7,10.9
56,6.86,,,1427.1,11.0
57,6.64,,,1538.8,11.0
58,6.78,,,1534.1,11.0
59,6.71,,,1556.0,11.0
60,6.56,,,1433.9,11.1
61,6.95,,,1399.8,11.2
62,6.71,,,1599.2,11.1
63,6.6,,,1920.8,10.9
64,6.7,,,1428.7,11.0
65,6.82,,,1603.8,10.9
66,6.51,,,1388.3,11.0
67,6.48,,,1463.3,11.1
68,6.44,,,1503.1,11.1
69,6.67,,,1558.5,11.1
70,6.54,,,1644.2,11.0
71,6.64,,,1415.1,11.1
72,6.5,,,1640.2,11.0
73,6.51,,,1533.2,11.0
74,6.29,,,1882.4,10.8
75,6.65,,,1380.1,10.9
76,6.53,,,1757.3,10.8
77,6.43,,,1386.7,10.9
78,6.74,,,1803.5,10.8
79,6.72,,,1472.7,10.8
80,6.44,,,1872.8,10.6
81,6.35,,,1392.4,10.8
82,6.57,,,1514.6,10.8
83,6.37,,,1756.8,10.7
84,6.6,,,2913.6,10.2
85,6.45,,,1534.2,10.3
86,6.46,,,2182.6,10.0
87,6.49,,,1465.1,10.2
88,6.69,,,1356.2,10.4
89,6.52,,,1489.5,10.5
90,6.22,,,2014.2,10.3
91,6.37,,,1659.7,10.3
92,6.48,,,1427.2,10.4
93,6.33,,,1617.5,10.4
94,6.36,,,1476.9,10.5
95,6.47,,,1643.0,10.5
96,6.53,,,1623.9,10.5
97,6.48,,,1648.7,10.4
98,6.44,,,1848.3,10.3
99,6.22,,,1601.1,10.3
100,6.21,,,1369.7,10.5
101,6.75,,,1781.7,10.4
102,6.53,,,1327.3,10.6
103,6.57,,,1459.2,10.7
104,6.44,,,1311.9,10.9
105,6.3,,,1742.1,10.8
106,6.31,,,2007.1,10.6
107,6.04,,,1612.8,10.6
108,6.24,,,1459.8,10.7
109,6.31,,,1876.4,10.5
110,6.34,,,1657.2,10.5
111,6.28,,,1383.8,10.6
112,6.39,,,1456.7,10.7
113,6.14,,,1316.4,10.9
114,6.39,,,1399.8,11.0
115,6.22,,,1384.2,11.1
116,6.26,,,1598.1,11.1
117,6.49,,,1433.0,11.2
118,6.39,,,1566.5,11.1
119,6.3,,,1754.3,11.0
120,5.99,,,1841.9,10.8
121,6.01,,,1628.1,10.7
122,6.13,,,1332.2,10.9
123,6.34,,,1508.8,10.9
124,6.29,,,1322.7,11.1
125,6.35,,,1614.4,11.1
126,6.21,,,2066.4,10.8
127,6.33,,,1305.0,11.0
128,6.27,,,1493.0,11.0
129,6.48,,,1879.8,10.8
130,6.33,,,1469.2,10.9
131,6.08,,,1581.7,10.8
132,6.18,,,2386.6,10.5
133,6.1,,,2701.8,10.0
134,6.57,,,2147.8,9.8
135,6.23,,,1584.2,9.9
136,6.19,,,1954.8,9.8
137,6.17,,,1350.1,10.0
138,6.18,,,1652.7,10.1
139,6.33,,,1411.6,10.2
140,6.02,,,1381.2,10.4
141,6.27,,,1897.7,10.3
142,6.32,,,2028.8,10.1
143,6.17,,,1612.1,10.1
144,6.29,,,1874.3,10.0
145,5.97,,,1487.0,10.1
146,6.36,,,1508.6,10.2
147,6.34,,,1699.4,10.2
148,6.18,,,1388.8,10.4
149,6.16,,,1537.3,10.5
150,6.04,,,1978.5,10.3
151,6.26,,,1533.0,10.3
152,5.96,,,1240.3,10.7
153,5.88,,,1360.0,10.8
154,5.85,,,1613.0,10.8
155,6.07,,,2178.5,10.5
156,6.0,,,1627.3,10.5
157,6.17,,,1864.7,10.3
158,6.15,,,2032.9,10.1
159,6.11,,,1740.9,10.1
160,6.0,,,1801.0,10.0
161,5.95,,,1473.3,10.1
162,6.13,,,1589.9,10.2
163,6.17,,,1796.6,10.1
164,6.25,,,1513.8,10.2
165,6.06,,,1314.0,10.5
166,6.05,,,1364.4,10.7
167,5.97,,,1623.0,10.6
168,5.88,,,1830.4,10.5
169,6.15,,,1418.0,10.6
170,6.23,,,1788.3,10.5
171,6.11,,,1442.6,10.6
172,6.15,,,1400.2,10.8
173,5.98,,,1819.8,10.6
174,6.01,,,2050.6,10.4
175,5.94,,,1576.6,10.4
176,6.2,,,1887.3,10.3
177,6.0,,,1752.3,10.2
178,5.91,,,1393.8,10.4
179,5.92,,,1769.7,10.3
180,6.11,,,1311.8,10.5
181,5.96,,,1377.1,10.7
182,6.26,,,1397.7,10.8
183,6.06,,,2013.0,10.6
184,5.88,,,1479.7,10.7
185,6.03,,,1792.6,10.5
186,6.03,,,1298.9,10.8
187,6.01,,,1461.4,10.9
188,6.06,,,1246.5,11.1
189,6.07,,,1816.9,10.9
190,5.82,,,1444.8,11.0
191,6.02,,,1596.3,11.0
192,5.81,,,1254.2,11.2
193,5.9,,,1443.6,11.3
194,5.9,,,1712.0,11.1
195,6.05,,,1771.7,11.0
196,6.02,,,1736.5,10.8
197,5.86,,,1449.5,10.9
198,5.8,,,1435.7,11.0
199,5.97,,,1330.5,11.2
200,6.03,,,1297.4,11.3
201,6.03,,,1332.6,11.5
202,5.79,,,1627.2,11.4
203,5.87,,,1442.0,11.4
204,6.02,,,1590.5,11.3
205,6.0,,,1330.3,11.4
206,5.8,,,1468.4,11.4
207,5.9,,,1473.1,11.4
208,5.97,,,1639.0,11.3
209,5.96,,,1509.0,11.3
210,5.79,,,1700.5,11.2
211,5.99,,,2828.3,10.6
212,6.0,,,2184.8,10.4
213,5.78,,,1347.2,10.6
214,5.92,,,1630.5,10.5
215,5.91,,,1349.9,10.7
216,5.68,,,1510.0,10.8
217,5.85,,,1962.2,10.6
218,5.8,,,1871.8,10.4
219,5.79,,,1666.5,10.4
220,5.95,,,1726.7,10.3
221,5.71,,,1440.6,10.4
222,5.84,,,1391.0,10.6
223,5.81,,,1419.6,10.7
224,5.88,,,1657.2,10.7
225,5.79,,,1421.0,10.8
226,6.14,,,1719.0,10.7
227,6.26,,,1491.2,10.8
228,5.7,,,1343.4,10.9
