step,train_loss,val_loss,val_ppl,time_ms,mfu
0,10.93,10.93,55961.69,87801.9,-100.0
1,10.03,,,2105.0,-100.0
2,9.34,,,2581.9,-100.0
3,8.93,,,2217.3,-100.0
4,8.57,,,2280.7,-100.0
5,8.24,,,2046.9,8.2
6,7.92,,,2454.0,8.1
7,7.76,,,1999.9,8.1
8,7.85,,,2894.6,7.9
9,7.74,,,2193.6,7.9
10,7.55,,,1939.5,7.9
11,7.57,,,2393.8,7.9
12,7.64,,,2118.6,7.9
13,7.77,,,2326.7,7.8
14,7.28,,,2345.0,7.7
15,7.35,,,1816.3,7.9
16,7.45,,,2654.2,7.7
17,7.4,,,2035.6,7.8
18,7.37,,,1908.5,7.9
19,7.29,,,2176.5,7.9
20,7.25,,,2212.4,7.9
21,7.48,,,2029.3,7.9
22,7.39,,,2202.2,7.9
23,7.35,,,2088.8,7.9
24,7.3,,,2089.1,7.9
25,7.5,,,2176.0,7.9
26,7.24,,,1931.1,8.0
27,7.28,,,2398.9,7.9
28,7.45,,,2192.5,7.9
29,7.29,,,1884.8,8.0
30,7.18,,,2519.7,7.8
31,7.1,,,1853.1,8.0
32,7.3,,,3323.6,7.7
33,7.7,,,2274.8,7.6
34,7.16,,,1956.9,7.7
35,6.94,,,2120.9,7.8
36,7.16,,,2203.3,7.7
37,7.04,,,3227.0,7.5
38,7.1,,,2609.4,7.4
39,7.04,,,1852.6,7.6
40,7.04,,,2467.7,7.5
41,6.9,,,2383.8,7.4
42,7.18,,,1996.0,7.5
43,6.92,,,3404.0,7.3
44,7.12,,,2342.7,7.3
45,6.87,,,2156.7,7.3
46,7.13,,,2433.0,7.3
47,6.97,,,2288.6,7.3
48,6.93,,,2544.6,7.2
49,6.86,,,2172.7,7.3
50,7.29,,,1807.9,7.5
51,6.76,,,1876.7,7.6
52,6.77,,,2149.1,7.6
53,6.92,,,2661.1,7.5
54,6.92,,,2420.3,7.5
55,6.73,,,2061.1,7.5
56,6.79,,,2187.8,7.5
57,6.92,,,2716.6,7.4
58,6.87,,,2253.0,7.4
59,6.73,,,3323.6,7.2
60,6.91,,,2552.9,7.1
61,6.64,,,2352.0,7.1
62,6.87,,,2142.3,7.2
63,6.72,,,1931.9,7.4
64,6.56,,,1900.5,7.5
65,6.78,,,2297.0,7.5
66,6.55,,,2148.1,7.5
67,6.68,,,2628.2,7.4
68,6.53,,,1975.4,7.5
69,6.71,,,1908.8,7.6
70,6.68,,,3111.5,7.4
71,6.87,,,2537.4,7.3
72,6.51,,,2039.0,7.4
73,6.73,,,2315.0,7.4
74,6.59,,,2024.5,7.5
75,6.5,,,2277.0,7.5
76,6.56,,,2072.4,7.6
77,6.65,,,2006.0,7.6
78,6.5,,,2464.2,7.6
79,6.64,,,2776.7,7.4
80,6.5,,,2352.4,7.4
81,6.52,,,2234.2,7.4
82,6.6,,,2226.1,7.4
83,6.62,,,2423.5,7.4
84,6.69,,,2184.9,7.4
85,6.53,,,2496.4,7.3
86,6.39,,,1821.0,7.5
87,6.19,,,2086.0,7.6
88,6.53,,,1956.7,7.7
89,6.44,,,2209.9,7.7
90,6.33,,,3376.2,7.4
91,6.31,,,2329.5,7.4
92,6.37,,,2046.8,7.5
93,6.52,,,2190.5,7.5
94,6.59,,,2286.1,7.5
95,6.44,,,2034.1,7.6
96,6.58,,,2180.8,7.6
97,6.4,,,2212.7,7.6
98,6.43,,,2846.5,7.4
99,6.49,,,2099.3,7.5
100,6.32,,,1867.5,7.6
101,6.65,,,2371.9,7.6
102,6.31,,,2161.3,7.6
103,6.59,,,1907.3,7.7
104,6.18,,,2150.1,7.7
105,6.24,,,2032.8,7.8
106,6.48,,,2201.4,7.8
107,6.49,,,2251.8,7.7
108,6.35,,,1966.3,7.8
109,6.49,,,2477.4,7.7
110,6.5,,,2926.8,7.5
111,6.11,,,2190.7,7.5
112,6.39,,,2738.3,7.4
113,6.29,,,2379.7,7.4
114,6.04,,,2721.6,7.2
115,6.4,,,3420.2,7.0
116,6.49,,,2173.0,7.1
117,6.26,,,2323.0,7.1
118,6.32,,,1988.2,7.2
119,6.33,,,2565.9,7.2
120,6.31,,,2059.6,7.3
121,6.52,,,2680.4,7.2
122,6.35,,,1902.7,7.3
123,6.23,,,2074.5,7.4
124,6.38,,,2247.8,7.4
125,6.22,,,2124.0,7.5
126,6.24,,,2201.4,7.5
127,6.09,,,1851.7,7.7
128,6.34,,,2006.1,7.7
129,6.34,,,3056.0,7.5
130,6.32,,,1927.8,7.6
131,6.19,,,2377.3,7.6
132,6.26,,,2321.1,7.5
133,6.08,,,2246.5,7.5
134,6.21,,,1926.9,7.7
135,6.34,,,2236.4,7.6
136,6.35,,,1942.8,7.7
137,6.18,,,2030.2,7.8
138,6.23,,,2303.1,7.8
139,6.13,,,2447.6,7.7
140,6.24,,,1886.8,7.8
141,6.18,,,2497.7,7.7
142,6.14,,,2224.4,7.7
143,6.08,,,2283.4,7.6
144,6.14,,,2349.1,7.6
145,6.27,,,2363.7,7.5
146,6.38,,,2105.2,7.6
147,6.17,,,2473.5,7.5
148,5.94,,,2294.1,7.5
149,6.2,,,2562.2,7.4
150,6.09,,,2117.4,7.5
151,6.39,,,1834.0,7.6
152,6.29,,,1870.8,7.8
153,5.96,,,2413.5,7.7
154,6.29,,,2562.5,7.6
155,6.17,,,2281.0,7.6
156,6.02,,,2873.7,7.4
157,6.09,,,2580.8,7.3
158,6.06,,,2048.8,7.4
159,6.31,,,2421.3,7.3
160,6.18,,,2170.7,7.4
161,6.06,,,2457.5,7.3
162,6.18,,,2142.7,7.4
163,6.13,,,2448.1,7.3
164,6.15,,,1897.2,7.5
165,6.23,,,2012.2,7.6
166,6.36,,,2006.0,7.7
167,6.15,,,3383.5,7.4
168,6.16,,,1987.7,7.5
169,6.27,,,2133.0,7.5
170,6.12,,,1943.0,7.6
171,6.22,,,3513.2,7.4
172,6.47,,,2270.6,7.4
173,6.22,,,2208.2,7.4
174,5.98,,,3476.2,7.1
175,6.13,,,2271.6,7.2
176,6.24,,,2331.1,7.2
177,6.0,,,1964.2,7.3
178,6.11,,,2040.3,7.4
179,5.99,,,2115.9,7.5
180,6.04,,,2231.1,7.5
181,6.16,,,2039.6,7.5
182,6.08,,,2183.5,7.6
183,6.33,,,3592.2,7.3
184,6.01,,,1858.9,7.5
185,6.09,,,2319.0,7.4
186,6.06,,,2525.6,7.4
187,6.1,,,2112.7,7.4
188,6.05,,,1957.6,7.5
189,6.48,,,2223.0,7.5
190,6.01,,,2129.7,7.6
191,5.97,,,2516.9,7.5
192,6.07,,,1876.3,7.6
193,6.07,,,2212.2,7.6
194,6.19,,,2494.9,7.5
195,6.3,,,2166.0,7.6
196,6.2,,,2246.5,7.6
197,5.95,,,2516.5,7.5
198,6.06,,,1888.8,7.6
199,5.99,,,2655.5,7.5
200,6.28,,,2096.9,7.5
201,5.9,,,2130.7,7.6
202,6.1,,,2208.9,7.6
203,6.01,,,1812.9,7.8
204,5.92,,,3180.7,7.5
205,6.13,,,2027.1,7.6
206,6.06,,,2102.0,7.6
207,6.2,,,2040.1,7.7
208,6.12,,,2380.6,7.6
209,6.01,,,2132.6,7.7
210,5.93,,,2621.5,7.5
211,6.09,,,2094.2,7.6
212,5.94,,,2216.3,7.6
213,6.05,,,2502.2,7.5
214,5.93,,,2741.2,7.4
215,5.93,,,2743.5,7.2
216,6.07,,,2168.8,7.3
217,5.76,,,2759.5,7.2
218,6.29,,,1902.0,7.3
219,6.0,,,2776.9,7.2
220,5.83,,,2098.7,7.3
221,6.0,,,2008.0,7.4
222,6.12,,,1817.0,7.6
223,6.07,,,2111.9,7.6
224,5.97,,,1922.3,7.7
225,5.91,,,2339.0,7.7
226,6.01,,,2244.8,7.7
227,6.11,,,2352.2,7.6
228,5.92,,,1933.8,7.7
229,6.04,,,2632.1,7.6
230,5.78,,,1757.0,7.8
231,6.21,,,2574.8,7.7
232,6.01,,,2165.7,7.7
233,6.07,,,2003.8,7.7
234,6.13,,,2642.1,7.6
235,6.0,,,2489.6,7.5
236,5.69,,,1807.3,7.7
237,5.83,,,2212.1,7.7
238,5.98,,,3164.1,7.5
239,6.1,,,2202.7,7.5
240,6.22,,,2431.5,7.4
241,5.9,,,2940.2,7.3
242,5.97,,,2131.3,7.3
243,6.0,,,2025.1,7.4
244,5.83,,,2341.9,7.4
245,5.86,,,2613.4,7.3
246,6.11,,,2536.5,7.2
247,5.91,,,2031.1,7.3
248,5.79,,,2087.9,7.4
249,5.83,,,2444.9,7.4
250,5.85,,,2480.0,7.3
251,5.98,,,2920.1,7.1
252,6.21,,,2002.6,7.3
253,5.88,,,2891.1,7.1
254,5.93,,,2212.4,7.2
255,6.01,,,2757.0,7.1
256,6.09,,,2040.3,7.2
257,6.09,,,2146.0,7.3
258,5.87,,,1975.9,7.4
259,5.87,,,1932.5,7.5
260,5.98,,,2184.5,7.5
261,5.81,,,2397.8,7.5
262,5.84,,,1950.0,7.6
263,5.96,,,2015.1,7.7
264,6.15,,,2872.5,7.5
265,5.88,,,2035.2,7.6
266,5.85,,,2645.3,7.4
267,5.71,,,1846.4,7.6
268,6.01,,,2543.6,7.5
269,5.79,,,2093.7,7.6
270,5.68,,,2041.7,7.6
271,5.84,,,2017.8,7.7
272,5.92,,,1816.7,7.9
273,6.04,,,2238.5,7.8
274,6.18,,,2097.3,7.8
275,5.86,,,2715.6,7.7
276,5.83,,,2506.3,7.6
277,5.69,,,2611.6,7.5
278,5.94,,,1971.5,7.6
279,5.81,,,2054.5,7.6
280,5.94,,,1903.9,7.8
281,5.82,,,2219.9,7.7
282,5.89,,,2157.0,7.7
283,5.92,,,2079.8,7.8
284,5.71,,,2126.2,7.8
285,5.8,,,1912.0,7.9
286,5.94,,,2084.8,7.9
287,5.77,,,2001.0,8.0
288,6.11,,,2343.0,7.9
289,5.97,,,2188.0,7.9
290,5.78,,,3049.1,7.6
291,5.75,,,2201.6,7.6
292,6.02,,,2067.3,7.7
293,5.68,,,2036.1,7.7
294,6.01,,,2393.6,7.7
295,5.86,,,2122.2,7.7
296,5.78,,,2362.3,7.6
297,5.67,,,2601.2,7.5
298,5.71,,,2144.3,7.6
299,6.0,,,1976.1,7.7
300,5.75,,,2004.1,7.7
301,5.85,,,2043.5,7.8
302,5.76,,,2235.3,7.8
303,5.71,,,2295.3,7.7
304,5.74,,,2881.2,7.5
305,5.65,,,2470.8,7.5
306,6.0,,,2030.0,7.5
307,5.54,,,2317.0,7.5
308,5.93,,,2025.3,7.6
309,5.66,,,2352.0,7.5
310,5.79,,,2288.4,7.5
311,5.73,,,2226.1,7.5
312,6.09,,,1854.4,7.7
313,6.08,,,2393.8,7.6
314,5.77,,,2144.0,7.6
315,5.52,,,2078.2,7.7
316,5.64,,,2311.2,7.6
317,5.93,,,2968.1,7.5
318,5.66,,,1976.2,7.6
319,5.68,,,2036.5,7.6
320,5.72,,,2018.7,7.7
321,5.67,,,2224.2,7.7
322,5.68,,,1873.9,7.8
323,5.8,,,2304.9,7.8
324,5.53,,,2631.0,7.6
325,5.84,,,2126.2,7.7
326,5.72,,,2299.2,7.6
327,5.86,,,2340.3,7.6
328,5.68,,,2559.4,7.5
329,5.87,,,2023.4,7.6
330,5.54,,,2852.1,7.4
331,6.03,,,2175.1,7.4
332,5.75,,,2146.4,7.5
333,5.71,,,1995.0,7.6
334,5.75,,,2269.1,7.6
335,5.63,,,2667.0,7.4
336,5.79,,,2371.8,7.4
337,5.62,,,1966.1,7.5
338,5.82,,,2410.5,7.5
339,5.54,,,1854.6,7.6
340,5.8,,,2000.6,7.7
341,5.78,,,2309.3,7.7
342,5.8,,,2163.2,7.7
343,5.64,,,2791.3,7.5
344,5.86,,,2136.1,7.5
345,5.51,,,2478.2,7.5
346,5.64,,,1933.1,7.6
347,5.84,,,2219.2,7.6
348,5.87,,,2286.7,7.6
349,5.62,,,2234.2,7.6
350,5.79,,,1941.9,7.7
351,5.6,,,2376.6,7.6
352,5.94,,,2138.2,7.6
353,5.7,,,2034.3,7.7
354,5.57,,,2190.7,7.7
355,5.83,,,2265.9,7.7
356,5.8,,,2054.6,7.7
357,5.75,,,1938.6,7.8
358,5.74,,,1845.8,8.0
359,5.71,,,2050.1,8.0
360,5.7,,,1928.8,8.1
361,5.69,,,2379.6,8.0
362,5.78,,,2525.9,7.8
363,5.67,,,2198.9,7.8
364,5.69,,,1979.2,7.9
365,5.71,,,2583.7,7.7
366,5.69,,,2323.0,7.7
367,5.71,,,2390.0,7.6
368,5.64,,,2291.7,7.6
369,5.95,,,1965.9,7.7
370,5.65,,,2421.6,7.6
