step,train_loss,val_loss,val_ppl,time_ms,mfu
0,9.26,9.21,9948.93,65837.7,-100.0
1,9.42,,,3089.8,-100.0
2,13.11,,,2396.7,-100.0
3,8.6,,,2035.1,-100.0
4,8.28,,,4261.3,-100.0
5,7.99,,,2245.3,7.5
6,7.75,,,2271.6,7.5
7,7.76,,,2200.6,7.5
8,7.57,,,2079.8,7.6
9,7.58,,,2241.2,7.6
10,7.51,,,2041.7,7.6
11,7.53,,,2104.6,7.7
12,7.61,,,2117.9,7.7
13,7.27,,,2025.6,7.8
14,7.37,,,2796.0,7.6
15,7.52,,,2182.6,7.6
16,7.41,,,1995.7,7.7
17,7.19,,,2135.3,7.7
18,7.04,,,1997.8,7.8
19,7.31,,,2005.2,7.8
20,7.17,,,1965.2,7.9
21,7.2,,,2108.3,7.9
22,7.18,,,2554.1,7.8
23,7.17,,,1919.5,7.9
24,7.07,,,1836.1,8.0
25,7.28,,,2551.9,7.9
26,6.97,,,2058.9,7.9
27,7.01,,,2268.8,7.9
28,6.99,,,1860.7,8.0
29,6.74,,,1668.6,8.2
30,6.89,,,2068.3,8.2
31,7.15,,,2643.4,8.0
32,6.98,,,2382.2,7.9
33,6.94,,,1893.3,8.0
34,7.02,,,4250.6,7.6
35,6.87,,,1978.0,7.7
36,7.0,,,1952.9,7.8
37,6.93,,,1866.3,7.9
38,6.91,,,2018.4,7.9
39,6.8,,,2035.9,8.0
40,6.79,,,2116.7,8.0
41,6.65,,,1725.8,8.2
42,6.89,,,2119.9,8.1
43,6.95,,,2423.7,8.0
44,6.71,,,1822.6,8.1
45,7.1,,,1810.8,8.3
46,6.71,,,2047.2,8.2
47,6.71,,,1872.3,8.3
48,6.85,,,1803.9,8.4
49,6.7,,,2161.2,8.4
50,6.84,,,2185.1,8.3
51,6.69,,,2355.2,8.2
52,6.49,,,2719.1,8.0
53,6.68,,,2096.8,8.0
54,6.37,,,1994.7,8.0
55,6.71,,,2278.9,8.0
56,6.59,,,1971.1,8.0
57,6.44,,,1907.6,8.1
58,6.65,,,1879.3,8.2
59,6.67,,,2700.5,8.0
60,6.87,,,3566.6,7.7
61,6.73,,,2428.3,7.6
62,6.42,,,5082.8,7.2
63,6.57,,,1666.0,7.5
64,6.51,,,2466.8,7.4
65,6.32,,,2042.0,7.5
66,6.56,,,2016.0,7.6
67,6.47,,,2120.9,7.6
68,6.48,,,1956.0,7.7
69,6.41,,,1651.8,8.0
70,6.46,,,2148.0,7.9
71,6.64,,,2019.6,8.0
72,6.68,,,2079.3,8.0
73,6.49,,,2185.9,8.0
74,6.52,,,2071.6,8.0
75,6.36,,,1910.0,8.1
76,6.56,,,2013.4,8.1
77,6.51,,,1664.8,8.3
78,6.53,,,1795.7,8.4
79,6.16,,,2689.0,8.2
80,6.4,,,1919.6,8.2
81,6.44,,,2076.4,8.2
82,6.26,,,2049.5,8.2
83,6.68,,,1975.5,8.3
84,6.56,,,2032.9,8.3
85,6.27,,,2098.5,8.2
86,6.49,,,3101.2,8.0
87,6.1,,,5798.7,7.5
88,6.16,,,3040.2,7.3
89,6.48,,,2464.4,7.2
90,6.27,,,1616.5,7.5
91,6.41,,,1681.1,7.8
92,6.18,,,1771.0,8.0
93,5.93,,,2019.9,8.0
94,6.68,,,2261.2,7.9
95,6.13,,,1921.4,8.0
96,6.24,,,1893.2,8.1
97,6.34,,,1763.1,8.3
98,6.3,,,1684.6,8.4
99,6.19,,,1897.0,8.5
100,6.27,,,2073.0,8.4
101,6.16,,,1695.2,8.6
102,6.26,,,1813.0,8.7
103,6.36,,,2200.7,8.6
104,6.29,,,1956.3,8.6
105,6.29,,,1861.7,8.6
106,6.36,,,2182.5,8.5
107,6.53,,,2265.3,8.4
108,6.33,,,2758.9,8.2
109,6.17,,,1868.8,8.3
110,6.22,,,2746.5,8.0
111,6.17,,,2218.7,8.0
112,6.25,,,1950.0,8.1
113,6.47,,,2933.9,7.8
114,6.09,,,3592.3,7.5
115,6.21,,,9215.5,6.9
116,6.2,,,1835.3,7.2
117,6.03,,,1851.1,7.4
118,6.14,,,2022.6,7.5
119,6.23,,,2056.1,7.5
120,5.97,,,2160.0,7.6
121,6.02,,,1645.8,7.8
122,6.22,,,2392.2,7.7
