layer,kept,masked,total,survival
transformer.wte.weight,29049111,9584361,38633472,75.19156186635257
transformer.wpe.weight,332656,453776,786432,42.299397786458336
transformer.h.0.ln_1.weight,768,0,768,100.0
transformer.h.0.attn.c_attn.weight,1041762,727710,1769472,58.874172634548614
transformer.h.0.attn.c_proj.weight,162373,427451,589824,27.52905951605903
transformer.h.0.ln_2.weight,768,0,768,100.0
transformer.h.0.mlp.c_fc.weight,1479157,880139,2359296,62.69484625922309
transformer.h.0.mlp.c_proj.weight,1096024,1263272,2359296,46.45555284288194
transformer.h.1.ln_1.weight,768,0,768,100.0
transformer.h.1.attn.c_attn.weight,1055143,714329,1769472,59.630386917679395
transformer.h.1.attn.c_proj.weight,194527,395297,589824,32.98051622178819
transformer.h.1.ln_2.weight,768,0,768,100.0
transformer.h.1.mlp.c_fc.weight,1590543,768753,2359296,67.41600036621094
transformer.h.1.mlp.c_proj.weight,1148299,1210997,2359296,48.671256171332466
transformer.h.2.ln_1.weight,768,0,768,100.0
transformer.h.2.attn.c_attn.weight,1069631,699841,1769472,60.44916223596643
transformer.h.2.attn.c_proj.weight,211127,378697,589824,35.79491509331597
transformer.h.2.ln_2.weight,768,0,768,100.0
transformer.h.2.mlp.c_fc.weight,1622674,736622,2359296,68.77788967556424
transformer.h.2.mlp.c_proj.weight,1148592,1210704,2359296,48.683675130208336
transformer.h.3.ln_1.weight,768,0,768,100.0
transformer.h.3.attn.c_attn.weight,1083630,685842,1769472,61.24030219184028
transformer.h.3.attn.c_proj.weight,254088,335736,589824,43.07861328125
transformer.h.3.ln_2.weight,768,0,768,100.0
transformer.h.3.mlp.c_fc.weight,1650807,708489,2359296,69.97032165527344
transformer.h.3.mlp.c_proj.weight,1214201,1145095,2359296,51.464547051323784
transformer.h.4.ln_1.weight,768,0,768,100.0
transformer.h.4.attn.c_attn.weight,1113218,656254,1769472,62.91243941695602
transformer.h.4.attn.c_proj.weight,268233,321591,589824,45.476786295572914
transformer.h.4.ln_2.weight,768,0,768,100.0
transformer.h.4.mlp.c_fc.weight,1664360,694936,2359296,70.54477267795139
transformer.h.4.mlp.c_proj.weight,1239216,1120080,2359296,52.524820963541664
transformer.h.5.ln_1.weight,768,0,768,100.0
transformer.h.5.attn.c_attn.weight,1116600,652872,1769472,63.10356987847222
transformer.h.5.attn.c_proj.weight,288379,301445,589824,48.89238145616319
transformer.h.5.ln_2.weight,768,0,768,100.0
transformer.h.5.mlp.c_fc.weight,1669664,689632,2359296,70.76958550347223
transformer.h.5.mlp.c_proj.weight,1287751,1071545,2359296,54.58200242784288
transformer.h.6.ln_1.weight,768,0,768,100.0
transformer.h.6.attn.c_attn.weight,1147309,622163,1769472,64.83905933521412
transformer.h.6.attn.c_proj.weight,299824,290000,589824,50.832790798611114
transformer.h.6.ln_2.weight,768,0,768,100.0
transformer.h.6.mlp.c_fc.weight,1672230,687066,2359296,70.8783467610677
transformer.h.6.mlp.c_proj.weight,1325765,1033531,2359296,56.193245781792534
transformer.h.7.ln_1.weight,768,0,768,100.0
transformer.h.7.attn.c_attn.weight,1151887,617585,1769472,65.09778058087385
transformer.h.7.attn.c_proj.weight,306207,283617,589824,51.91497802734375
transformer.h.7.ln_2.weight,768,0,768,100.0
transformer.h.7.mlp.c_fc.weight,1670336,688960,2359296,70.79806857638889
transformer.h.7.mlp.c_proj.weight,1325577,1033719,2359296,56.1852773030599
transformer.h.8.ln_1.weight,768,0,768,100.0
transformer.h.8.attn.c_attn.weight,1155374,614098,1769472,65.29484501591435
transformer.h.8.attn.c_proj.weight,319505,270319,589824,54.16954888237847
transformer.h.8.ln_2.weight,768,0,768,100.0
transformer.h.8.mlp.c_fc.weight,1665225,694071,2359296,70.58143615722656
transformer.h.8.mlp.c_proj.weight,1300425,1058871,2359296,55.11919657389323
transformer.h.9.ln_1.weight,768,0,768,100.0
transformer.h.9.attn.c_attn.weight,1176016,593456,1769472,66.46140769675925
transformer.h.9.attn.c_proj.weight,346931,242893,589824,58.81941053602431
transformer.h.9.ln_2.weight,768,0,768,100.0
transformer.h.9.mlp.c_fc.weight,1666007,693289,2359296,70.61458163791232
transformer.h.9.mlp.c_proj.weight,1402722,956574,2359296,59.455108642578125
transformer.h.10.ln_1.weight,768,0,768,100.0
transformer.h.10.attn.c_attn.weight,1202711,566761,1769472,67.970049822772
transformer.h.10.attn.c_proj.weight,355138,234686,589824,60.210842556423614
transformer.h.10.ln_2.weight,768,0,768,100.0
transformer.h.10.mlp.c_fc.weight,1659313,699983,2359296,70.33085293240018
transformer.h.10.mlp.c_proj.weight,1519826,839470,2359296,64.41862318250868
transformer.h.11.ln_1.weight,768,0,768,100.0
transformer.h.11.attn.c_attn.weight,1218143,551329,1769472,68.84217438874421
transformer.h.11.attn.c_proj.weight,409194,180630,589824,69.3756103515625
transformer.h.11.ln_2.weight,768,0,768,100.0
transformer.h.11.mlp.c_fc.weight,1676796,682500,2359296,71.07187906901042
transformer.h.11.mlp.c_proj.weight,1558197,801099,2359296,66.04499816894531
transformer.ln_f.weight,768,0,768,100.0
