layer,kept,masked,total,survival
transformer.wte.weight,35954506,2678966,38633472,93.06568666673293
transformer.wpe.weight,659032,127400,786432,83.80025227864583
transformer.h.0.ln_1.weight,768,0,768,100.0
transformer.h.0.attn.c_attn.weight,1544101,225371,1769472,87.26337574146412
transformer.h.0.attn.c_proj.weight,479333,110491,589824,81.26712375217014
transformer.h.0.ln_2.weight,768,0,768,100.0
transformer.h.0.mlp.c_fc.weight,2089583,269713,2359296,88.56807284884982
transformer.h.0.mlp.c_proj.weight,1903316,455980,2359296,80.67304823133681
transformer.h.1.ln_1.weight,768,0,768,100.0
transformer.h.1.attn.c_attn.weight,1538845,230627,1769472,86.96633798104746
transformer.h.1.attn.c_proj.weight,442829,146995,589824,75.07815890842014
transformer.h.1.ln_2.weight,768,0,768,100.0
transformer.h.1.mlp.c_fc.weight,2146992,212304,2359296,91.00138346354167
transformer.h.1.mlp.c_proj.weight,2028176,331120,2359296,85.96530490451389
transformer.h.2.ln_1.weight,768,0,768,100.0
transformer.h.2.attn.c_attn.weight,1558302,211170,1769472,88.06593153211806
transformer.h.2.attn.c_proj.weight,448883,140941,589824,76.10456678602431
transformer.h.2.ln_2.weight,768,0,768,100.0
transformer.h.2.mlp.c_fc.weight,2154679,204617,2359296,91.32720099555121
transformer.h.2.mlp.c_proj.weight,2033170,326126,2359296,86.1769782172309
transformer.h.3.ln_1.weight,768,0,768,100.0
transformer.h.3.attn.c_attn.weight,1560193,209279,1769472,88.17279956958912
transformer.h.3.attn.c_proj.weight,471550,118274,589824,79.94757758246527
transformer.h.3.ln_2.weight,768,0,768,100.0
transformer.h.3.mlp.c_fc.weight,2162286,197010,2359296,91.64962768554688
transformer.h.3.mlp.c_proj.weight,2028481,330815,2359296,85.97823248969183
transformer.h.4.ln_1.weight,768,0,768,100.0
transformer.h.4.attn.c_attn.weight,1571943,197529,1769472,88.83683946397569
transformer.h.4.attn.c_proj.weight,484977,104847,589824,82.22401936848958
transformer.h.4.ln_2.weight,768,0,768,100.0
transformer.h.4.mlp.c_fc.weight,2165659,193637,2359296,91.79259406195746
transformer.h.4.mlp.c_proj.weight,2045362,313934,2359296,86.69374254014757
transformer.h.5.ln_1.weight,768,0,768,100.0
transformer.h.5.attn.c_attn.weight,1576613,192859,1769472,89.10076000072338
transformer.h.5.attn.c_proj.weight,488061,101763,589824,82.74688720703125
transformer.h.5.ln_2.weight,768,0,768,100.0
transformer.h.5.mlp.c_fc.weight,2168719,190577,2359296,91.92229376898871
transformer.h.5.mlp.c_proj.weight,2066256,293040,2359296,87.579345703125
transformer.h.6.ln_1.weight,768,0,768,100.0
transformer.h.6.attn.c_attn.weight,1580572,188900,1769472,89.32449905960648
transformer.h.6.attn.c_proj.weight,494147,95677,589824,83.77872043185764
transformer.h.6.ln_2.weight,768,0,768,100.0
transformer.h.6.mlp.c_fc.weight,2168484,190812,2359296,91.91233317057292
transformer.h.6.mlp.c_proj.weight,2066638,292658,2359296,87.59553697374132
transformer.h.7.ln_1.weight,768,0,768,100.0
transformer.h.7.attn.c_attn.weight,1578407,191065,1769472,89.20214617693865
transformer.h.7.attn.c_proj.weight,490385,99439,589824,83.14090304904514
transformer.h.7.ln_2.weight,768,0,768,100.0
transformer.h.7.mlp.c_fc.weight,2167872,191424,2359296,91.88639322916667
transformer.h.7.mlp.c_proj.weight,2031301,327995,2359296,86.09775967068143
transformer.h.8.ln_1.weight,768,0,768,100.0
transformer.h.8.attn.c_attn.weight,1588839,180633,1769472,89.79170057508681
transformer.h.8.attn.c_proj.weight,508221,81603,589824,86.16485595703125
transformer.h.8.ln_2.weight,768,0,768,100.0
transformer.h.8.mlp.c_fc.weight,2170572,188724,2359296,92.00083414713542
transformer.h.8.mlp.c_proj.weight,2061642,297654,2359296,87.38377888997395
transformer.h.9.ln_1.weight,768,0,768,100.0
transformer.h.9.attn.c_attn.weight,1594702,174770,1769472,90.12304235387731
transformer.h.9.attn.c_proj.weight,516948,72876,589824,87.64444986979167
transformer.h.9.ln_2.weight,768,0,768,100.0
transformer.h.9.mlp.c_fc.weight,2166279,193017,2359296,91.81887308756511
transformer.h.9.mlp.c_proj.weight,2070249,289047,2359296,87.74859110514323
transformer.h.10.ln_1.weight,768,0,768,100.0
transformer.h.10.attn.c_attn.weight,1610644,158828,1769472,91.0239890769676
transformer.h.10.attn.c_proj.weight,524788,65036,589824,88.97365993923611
transformer.h.10.ln_2.weight,768,0,768,100.0
transformer.h.10.mlp.c_fc.weight,2161189,198107,2359296,91.60313076443143
transformer.h.10.mlp.c_proj.weight,2125800,233496,2359296,90.1031494140625
transformer.h.11.ln_1.weight,768,0,768,100.0
transformer.h.11.attn.c_attn.weight,1613899,155573,1769472,91.20794225622106
transformer.h.11.attn.c_proj.weight,543148,46676,589824,92.08645290798611
transformer.h.11.ln_2.weight,768,0,768,100.0
transformer.h.11.mlp.c_fc.weight,2169998,189298,2359296,91.97650485568576
transformer.h.11.mlp.c_proj.weight,2140612,218684,2359296,90.73096381293402
transformer.ln_f.weight,768,0,768,100.0
